0.000000000000000000e+00,5.699999999999999512e-01,5.699999999999999512e-01,3.800000000000000044e-01,3.800000000000000044e-01
1.000000000000000000e+00,6.437739978256673545e-01,5.945913326085557893e-01,3.768779490190497516e-01,3.671855160357857528e-01
2.000000000000000000e+00,7.131266676600674925e-01,6.177088892200225390e-01,3.737614895527315295e-01,3.542942706836454403e-01
3.000000000000000000e+00,7.779954250280101125e-01,6.393318083426700049e-01,3.706504441715116061e-01,3.413437721485481635e-01
4.000000000000000000e+00,8.383756423254429269e-01,6.594585474418143134e-01,3.675445960855697747e-01,3.283506834200018432e-01
5.000000000000000000e+00,8.943162276243410425e-01,6.781054092081136853e-01,3.644436972658462448e-01,3.153303541894952322e-01
6.000000000000000000e+00,9.459137907605038587e-01,6.953045969201679943e-01,3.613474764756727797e-01,3.022964874959258585e-01
7.000000000000000000e+00,9.933058424172015455e-01,7.111019474724005196e-01,3.582556468963774554e-01,2.892609390927488033e-01
8.000000000000000000e+00,1.036663473811730407e+00,7.255544912705768068e-01,3.551679131040878512e-01,2.762336374663532657e-01
9.000000000000000000e+00,1.076183929104692849e+00,7.387279763682309541e-01,3.520839772322350014e-01,2.632226056090317678e-01
1.000000000000000000e+01,1.112083420313095150e+00,7.506944734376984618e-01,3.490035442274954658e-01,2.502340621181431968e-01
1.100000000000000000e+01,1.144590456917554233e+00,7.615301523058515265e-01,3.459263261707929971e-01,2.372725785498205897e-01
1.200000000000000000e+01,1.173939880268498603e+00,7.713132934228329463e-01,3.428520456864871391e-01,2.243412715218199849e-01
1.300000000000000000e+01,1.200367714956517506e+00,7.801225716521725806e-01,3.397804385009786654e-01,2.114420110659300245e-01
1.400000000000000000e+01,1.224106881458524754e+00,7.880356271528417000e-01,3.367112552372064083e-01,1.985756304560520602e-01
1.500000000000000000e+01,1.245383759849524319e+00,7.951279199498415551e-01,3.336442625454568711e-01,1.857421266004534444e-01
1.600000000000000000e+01,1.264415554131852248e+00,8.014718513772841613e-01,3.305792436756736508e-01,1.729408436738876509e-01
1.700000000000000000e+01,1.281408380038131734e+00,8.071361266793772860e-01,3.275159985942921459e-01,1.601706357322979224e-01
1.800000000000000000e+01,1.296555984205099987e+00,8.121853280683667409e-01,3.244543437416767540e-01,1.474300064938587895e-01
1.900000000000000000e+01,1.310038997075476441e+00,8.166796656918255959e-01,3.213941115163436169e-01,1.347172262810499566e-01
2.000000000000000000e+01,1.322024623355583239e+00,8.206748744518611582e-01,3.183351495607973924e-01,1.220304273597212635e-01
