64.90428660252776, -142.55072524713069
134.66257760850178, -142.9633156214237
239.36008842938742, -143.9270277333061
532.4266117186964, -146.12887141393904
622.8264363017051, -145.02386452041173
769.3356682215905, -145.98685574055105
859.8556414284473, -145.57150194790955
894.9630693167453, -147.08813802673907
1006.48502197218, -147.22414626893465
1166.7392564602412, -147.08345223040902
1417.6816722285469, -147.49291874048197
1536.460601764383, -149.28397427617963
1668.4318501986954, -146.79894028913765
1758.8797342312441, -145.9697946359647
1856.2962384469583, -145.14052883416787
1926.4390050492466, -147.7600091312954
2030.7280105490486, -146.3789007001661
2156.331381919434, -147.34225236617695
2295.7037855827657, -147.3398493937
2365.2458090658142, -146.51106418639856
2434.9079811727106, -146.3719320799829
2664.8724472172075, -146.36796717539596
2720.861705930235, -147.74631218817677
2818.30223987072, -147.0549770065571
2944.6745624337304, -152.43210851823704
3070.6143499508894, -155.32648886672814
3188.3840310464047, -151.3244583549851
3292.7691554452854, -150.49507240456444
3369.520096359195, -151.04547325041074
3453.167568281965, -151.18196208710174
3516.005298554312, -151.8705338503729
3843.7226849612957, -152.96833182646932
3941.21127835132, -152.552857885204
4010.9695693572953, -152.965448259497
4157.214474304715, -152.41120265768754
4248.575487878506, -156.82342057124663
4353.032701451695, -156.4078264813574
4520.063318324767, -155.16356733279065
4576.172725661643, -157.23156544645724
4667.173293363891, -159.5748240573589
4722.489719783372, -157.0911117051793
4820.098461797242, -157.36529086479976
4889.784663628909, -157.3640893785613
5001.234527110034, -157.0863057602254
5161.5608507724055, -157.3594035822312
5335.824414801108, -157.63226110698932
5405.294349109849, -156.3896840391564
5503.095328921876, -157.76730816019415
5607.888958641839, -159.28274275278517
5677.551130748735, -159.14361064636952
5761.198602671505, -159.28009948306055
5837.829394961567, -159.14084722802107
5921.260599361409, -158.03596048311758
6005.172398256645, -159.68968614175733
6102.516813298049, -158.44662847942902
6200.389882284385, -160.23804446099822
6325.849075306153, -160.37381240594613
6541.924360433855, -160.6459490389612
6814.060993448896, -162.7102225452885
6918.950742067938, -164.77737961858816
7065.291765914435, -164.77485649748735
7211.897116733399, -166.28957019833535
7323.274891040217, -165.59799471946798
7441.669344979739, -165.18216033233108
7525.509054700662, -166.42209413043935
7622.757350842992, -164.6273139874024
7706.573030839148, -165.7293171653335
7804.277891752096, -166.5552188056626
7915.727755233222, -166.27743518732672
7999.807762201841, -168.89667518720654
8097.392474490943, -169.03292372664984
